Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,,,Suppressed
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,320,160,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,1700,350,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,1660,350,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,1430,370,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,1350,360,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,1270,380,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,1010,300,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,1330,370,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,1310,320,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,2250,390,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,480,210,
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,,,Suppressed
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,,,Suppressed
Average Working-age support,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,0,0,
Couple families,Not applicable,Families,Principal Age 0-4,,,,,,Not applicable
Couple families,Not applicable,Families,Principal Age 5-9,,,,,,Not applicable
Couple families,Not applicable,Families,Principal Age 10-14,,,,,,Not applicable
Couple families,Not applicable,Families,Principal Age 15-19,,,,,,Suppressed
Couple families,Not applicable,Families,Principal Age 20-24,42,24000,7000,24000,7000,NB - Sampling error is 21-50% of point estimate
Couple families,Not applicable,Families,Principal Age 25-29,102,55000,10000,55000,10000,
Couple families,Not applicable,Families,Principal Age 30-34,93,46000,8000,46000,8000,
Couple families,Not applicable,Families,Principal Age 35-39,48,20000,6000,20000,6000,NB - Sampling error is 21-50% of point estimate
Couple families,Not applicable,Families,Principal Age 40-44,48,25000,7000,25000,7000,NB - Sampling error is 21-50% of point estimate
Couple families,Not applicable,Families,Principal Age 45-49,90,43000,9000,43000,9000,
Couple families,Not applicable,Families,Principal Age 50-54,150,79000,10000,79000,10000,
Couple families,Not applicable,Families,Principal Age 55-59,186,95000,10000,95000,10000,
Couple families,Not applicable,Families,Principal Age 60-64,183,92000,9000,92000,9000,
Couple families,Not applicable,Families,Principal Age 65-69,165,79000,8000,79000,8000,
Couple families,Not applicable,Families,Principal Age 70-74,135,65000,8000,65000,8000,
Couple families,Not applicable,Families,Principal Age 75-79,111,41000,6000,41000,6000,
Couple families,Not applicable,Families,Principal Age 80+,72,38000,5000,38000,5000,
Couple-with-children families,Not applicable,Families,Principal Age 0-4,,,,,,Not applicable
Couple-with-children families,Not applicable,Families,Principal Age 5-9,,,,,,Not applicable
Couple-with-children families,Not applicable,Families,Principal Age 10-14,,,,,,Not applicable
Couple-with-children families,Not applicable,Families,Principal Age 15-19,,,,,,Suppressed
Couple-with-children families,Not applicable,Families,Principal Age 20-24,,,,,,Suppressed
Couple-with-children families,Not applicable,Families,Principal Age 25-29,66,34000,9000,34000,9000,NB - Sampling error is 21-50% of point estimate
Couple-with-children families,Not applicable,Families,Principal Age 30-34,177,80000,8000,80000,8000,
Couple-with-children families,Not applicable,Families,Principal Age 35-39,207,91000,10000,91000,10000,
Couple-with-children families,Not applicable,Families,Principal Age 40-44,198,93000,9000,93000,9000,
Couple-with-children families,Not applicable,Families,Principal Age 45-49,156,80000,10000,80000,10000,
Couple-with-children families,Not applicable,Families,Principal Age 50-54,90,45000,8000,45000,8000,
Couple-with-children families,Not applicable,Families,Principal Age 55-59,45,23000,6000,23000,6000,NB - Sampling error is 21-50% of point estimate
Couple-with-children families,Not applicable,Families,Principal Age 60-64,15,9000,4000,9000,4000,NB - Sampling error is 21-50% of point estimate
Couple-with-children families,Not applicable,Families,Principal Age 65-69,,,,,,Suppressed
Couple-with-children families,Not applicable,Families,Principal Age 70-74,,,,,,Suppressed
Couple-with-children families,Not applicable,Families,Principal Age 75-79,,,,,,Suppressed
Couple-with-children families,Not applicable,Families,Principal Age 80+,,,,,,Suppressed
Couples' age difference in five-year bins,Not applicable,Percent,Couples zero bin difference,1071,528000,26000,45.1,2,
Couples' age difference in five-year bins,Not applicable,Percent,Couples one bin difference,918,442000,25000,37.7,2,
Couples' age difference in five-year bins,Not applicable,Percent,Couples two bin difference,294,138000,14000,11.8,1.2,
Couples' age difference in five-year bins,Not applicable,Percent,Couples three bin difference,78,37000,8000,3.2,0.7,NB - Sampling error is 21-50% of point estimate
Couples' age difference in five-year bins,Not applicable,Percent,Couples four or more bin difference,51,27000,7000,2.3,0.7,NB - Sampling error is 21-50% of point estimate
Couples' mean absolute age difference,Not applicable,Years,All Couples,2409,1172000,21000,4,0.2,
Couples' median absolute age difference,Not applicable,Years,All Couples,2409,1172000,21000,3,0,
Dependents (Family),Not applicable,Individuals,Age 0-4,663,305000,0,305000,0,
Dependents (Family),Not applicable,Individuals,Age 5-9,759,327000,0,327000,0,
Dependents (Family),Not applicable,Individuals,Age 10-14,723,314000,0,314000,0,
Dependents (Family),Not applicable,Individuals,Age 15-19,318,172000,14000,172000,14000,
Dependents (Family),Not applicable,Individuals,Age 20-24,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 25-29,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 30-34,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 35-39,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 40-44,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 45-49,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 50-54,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 55-59,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 60-64,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 65-69,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 70-74,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 75-79,,,,,,Not applicable
Dependents (Family),Not applicable,Individuals,Age 80+,,,,,,Not applicable
Gini coefficient - Disposable income,Family,Gini points,Principal Age 15-19,243,134000,14000,39.64,3.5,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 20-24,537,344000,13000,34.67,2.93,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 25-29,804,452000,23000,29.8,6.88,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 30-34,1155,538000,25000,30.7,2.26,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 35-39,1191,531000,34000,32.67,3.32,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 40-44,1218,563000,33000,32.73,4.85,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 45-49,1035,482000,32000,34.99,5.68,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 50-54,840,418000,25000,38.91,6.89,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 55-59,738,359000,21000,34.89,2.63,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 60-64,630,309000,19000,46.12,5.28,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 65-69,522,237000,14000,39.58,4.09,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 70-74,411,185000,12000,34.84,6.27,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 75-79,342,124000,10000,29.05,4.04,
Gini coefficient - Disposable income,Family,Gini points,Principal Age 80+,318,159000,8000,26.87,6.13,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 0-4,663,305000,0,30.8,2.31,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 5-9,759,327000,0,31.34,2.79,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 10-14,723,314000,0,34.63,4.04,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 15-19,561,305000,0,40.31,4.19,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 20-24,519,332000,0,38.63,5.48,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 25-29,642,367000,0,31.84,3.91,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 30-34,708,338000,0,34.99,2.05,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 35-39,681,310000,0,35.67,2.3,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 40-44,630,299000,0,37.76,3.44,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 45-49,693,330000,0,37.25,3.74,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 50-54,627,317000,0,40.69,6.98,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 55-59,633,314000,0,37.37,2.42,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 60-64,558,270000,0,44.46,4.32,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 65-69,513,233000,0,39.67,4.7,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 70-74,426,190000,0,33.87,5.15,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 75-79,339,125000,0,28.19,3.5,
Gini coefficient - Disposable income,Intra-family equal,Gini points,Age 80+,312,157000,0,24.79,5.23,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 0-4,663,305000,0,29.63,2.34,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 5-9,759,327000,0,30.09,2.86,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 10-14,723,314000,0,33.22,4.18,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 15-19,561,305000,0,37.34,3.43,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 20-24,519,332000,0,37.68,4.22,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 25-29,642,367000,0,31.75,4.89,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 30-34,708,338000,0,34.57,1.76,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 35-39,681,310000,0,35.71,2.26,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 40-44,630,299000,0,36.61,3.73,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 45-49,693,330000,0,38.07,3.83,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 50-54,627,317000,0,40.75,6.62,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 55-59,633,314000,0,38.87,2.08,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 60-64,558,270000,0,47.43,4.43,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 65-69,513,233000,0,42.24,3.89,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 70-74,426,190000,0,37.12,5.21,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 75-79,339,125000,0,32.06,3.71,
Gini coefficient - Disposable income,Intra-family mOECD,Gini points,Age 80+,312,157000,0,29.19,4.88,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 0-4,663,305000,0,27.89,2.18,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 5-9,759,327000,0,28.7,2.6,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 10-14,723,314000,0,33.25,3.57,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 15-19,561,305000,0,31.66,4.06,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 20-24,519,332000,0,33.28,4.67,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 25-29,642,367000,0,31.42,4.58,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 30-34,708,338000,0,33.19,1.64,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 35-39,681,310000,0,34.95,2.2,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 40-44,630,299000,0,36.29,3.17,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 45-49,693,330000,0,37.61,3.92,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 50-54,627,317000,0,39.46,5.76,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 55-59,633,314000,0,37.17,1.98,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 60-64,558,270000,0,44.53,3.85,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 65-69,513,233000,0,41.49,3.95,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 70-74,426,190000,0,36.43,5.4,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 75-79,339,125000,0,32.46,3.75,
Gini coefficient - Disposable income,Intra-household mOECD,Gini points,Age 80+,312,157000,0,30.47,4.59,
Gini coefficient - Disposable income,No sharing,Gini points,Age 0-4,663,305000,0,,,Not applicable
Gini coefficient - Disposable income,No sharing,Gini points,Age 5-9,759,327000,0,,,Not applicable
Gini coefficient - Disposable income,No sharing,Gini points,Age 10-14,723,314000,0,,,Not applicable
Gini coefficient - Disposable income,No sharing,Gini points,Age 15-19,561,305000,0,68.86,3.04,
Gini coefficient - Disposable income,No sharing,Gini points,Age 20-24,519,332000,0,36.46,3.31,
Gini coefficient - Disposable income,No sharing,Gini points,Age 25-29,642,367000,0,32.38,6.55,
Gini coefficient - Disposable income,No sharing,Gini points,Age 30-34,708,338000,0,36.11,2.5,
Gini coefficient - Disposable income,No sharing,Gini points,Age 35-39,681,310000,0,39.01,2.97,
Gini coefficient - Disposable income,No sharing,Gini points,Age 40-44,630,299000,0,39.42,4.07,
Gini coefficient - Disposable income,No sharing,Gini points,Age 45-49,693,330000,0,41.4,4.76,
Gini coefficient - Disposable income,No sharing,Gini points,Age 50-54,627,317000,0,44.01,5.91,
Gini coefficient - Disposable income,No sharing,Gini points,Age 55-59,633,314000,0,41.03,2.58,
Gini coefficient - Disposable income,No sharing,Gini points,Age 60-64,558,270000,0,53.31,5.01,
Gini coefficient - Disposable income,No sharing,Gini points,Age 65-69,513,233000,0,42.33,3.83,
Gini coefficient - Disposable income,No sharing,Gini points,Age 70-74,426,190000,0,37.6,5.56,
Gini coefficient - Disposable income,No sharing,Gini points,Age 75-79,339,125000,0,30.13,3.86,
Gini coefficient - Disposable income,No sharing,Gini points,Age 80+,312,157000,0,27.19,5.18,
Gini coefficient - Final income,Family,Gini points,Principal Age 15-19,243,134000,14000,27.14,3.75,
Gini coefficient - Final income,Family,Gini points,Principal Age 20-24,537,344000,13000,28.03,2.9,
Gini coefficient - Final income,Family,Gini points,Principal Age 25-29,804,452000,23000,24.85,6.81,
Gini coefficient - Final income,Family,Gini points,Principal Age 30-34,1155,538000,25000,25.13,2.17,
Gini coefficient - Final income,Family,Gini points,Principal Age 35-39,1191,531000,34000,27.54,3.12,
Gini coefficient - Final income,Family,Gini points,Principal Age 40-44,1218,563000,33000,27.07,4.7,
Gini coefficient - Final income,Family,Gini points,Principal Age 45-49,1035,482000,32000,29.95,5.53,
Gini coefficient - Final income,Family,Gini points,Principal Age 50-54,840,418000,25000,35.6,7.01,
Gini coefficient - Final income,Family,Gini points,Principal Age 55-59,738,359000,21000,32.19,2.59,
Gini coefficient - Final income,Family,Gini points,Principal Age 60-64,630,309000,19000,42.6,5.42,
Gini coefficient - Final income,Family,Gini points,Principal Age 65-69,522,237000,14000,36.6,4.12,
Gini coefficient - Final income,Family,Gini points,Principal Age 70-74,411,185000,12000,30.43,6.22,
Gini coefficient - Final income,Family,Gini points,Principal Age 75-79,342,124000,10000,23.83,3.51,
Gini coefficient - Final income,Family,Gini points,Principal Age 80+,318,159000,8000,19.2,4.21,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 0-4,663,305000,0,25.03,2.07,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 5-9,759,327000,0,23.08,2.47,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 10-14,723,314000,0,25.46,3.51,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 15-19,561,305000,0,31.21,3.49,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 20-24,519,332000,0,32.45,5.33,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 25-29,642,367000,0,29.48,3.93,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 30-34,708,338000,0,32.53,2.06,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 35-39,681,310000,0,33.94,2.17,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 40-44,630,299000,0,35.51,3.54,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 45-49,693,330000,0,35.64,3.82,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 50-54,627,317000,0,39.45,7.19,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 55-59,633,314000,0,35.48,2.42,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 60-64,558,270000,0,41.65,4.47,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 65-69,513,233000,0,36.72,4.89,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 70-74,426,190000,0,29.78,4.95,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 75-79,339,125000,0,22.67,3.08,
Gini coefficient - Final income,Intra-family equal,Gini points,Age 80+,312,157000,0,18.07,3.32,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 0-4,663,305000,0,23.57,1.87,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 5-9,759,327000,0,18.64,2.2,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 10-14,723,314000,0,20.17,3.14,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 15-19,561,305000,0,25.57,2.74,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 20-24,519,332000,0,31.23,4.11,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 25-29,642,367000,0,29.38,4.93,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 30-34,708,338000,0,32.26,1.82,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 35-39,681,310000,0,34.19,2.23,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 40-44,630,299000,0,34.95,3.89,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 45-49,693,330000,0,36.32,3.92,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 50-54,627,317000,0,39.58,6.86,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 55-59,633,314000,0,36.92,2.01,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 60-64,558,270000,0,44.56,4.62,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 65-69,513,233000,0,38.81,4.1,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 70-74,426,190000,0,32.28,5.09,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 75-79,339,125000,0,25.09,3.23,
Gini coefficient - Final income,Intra-family mOECD,Gini points,Age 80+,312,157000,0,20.52,3.26,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 0-4,663,305000,0,22.62,1.69,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 5-9,759,327000,0,17.99,1.99,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 10-14,723,314000,0,21.24,2.75,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 15-19,561,305000,0,25.19,3.23,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 20-24,519,332000,0,30.15,4.45,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 25-29,642,367000,0,29.7,4.58,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 30-34,708,338000,0,30.96,1.73,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 35-39,681,310000,0,33.48,2.18,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 40-44,630,299000,0,34.47,3.3,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 45-49,693,330000,0,35.78,4.03,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 50-54,627,317000,0,37.96,5.96,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 55-59,633,314000,0,35.26,1.94,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 60-64,558,270000,0,41.71,4.01,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 65-69,513,233000,0,37.91,4.11,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 70-74,426,190000,0,31.49,5.27,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 75-79,339,125000,0,25.29,3.35,
Gini coefficient - Final income,Intra-household mOECD,Gini points,Age 80+,312,157000,0,21.05,3.18,
Gini coefficient - Market income,Family,Gini points,Principal Age 15-19,243,134000,14000,48.21,3.93,
Gini coefficient - Market income,Family,Gini points,Principal Age 20-24,537,344000,13000,48.76,4.14,
Gini coefficient - Market income,Family,Gini points,Principal Age 25-29,804,452000,23000,44.5,7.55,
Gini coefficient - Market income,Family,Gini points,Principal Age 30-34,1155,538000,25000,41.46,3.36,
Gini coefficient - Market income,Family,Gini points,Principal Age 35-39,1191,531000,34000,43.67,3.73,
Gini coefficient - Market income,Family,Gini points,Principal Age 40-44,1218,563000,33000,41.87,5.33,
Gini coefficient - Market income,Family,Gini points,Principal Age 45-49,1035,482000,32000,41.75,6.17,
Gini coefficient - Market income,Family,Gini points,Principal Age 50-54,840,418000,25000,46.84,7.24,
Gini coefficient - Market income,Family,Gini points,Principal Age 55-59,738,359000,21000,42.01,3.39,
Gini coefficient - Market income,Family,Gini points,Principal Age 60-64,630,309000,19000,54.85,4.33,
Gini coefficient - Market income,Family,Gini points,Principal Age 65-69,522,237000,14000,62.68,4.55,
Gini coefficient - Market income,Family,Gini points,Principal Age 70-74,411,185000,12000,70.24,5.86,
Gini coefficient - Market income,Family,Gini points,Principal Age 75-79,342,124000,10000,69.36,4.72,
Gini coefficient - Market income,Family,Gini points,Principal Age 80+,318,159000,8000,75.14,5.61,
Gini coefficient - Market income,No sharing,Gini points,Age 0-4,663,305000,0,,,Not applicable
Gini coefficient - Market income,No sharing,Gini points,Age 5-9,759,327000,0,,,Not applicable
Gini coefficient - Market income,No sharing,Gini points,Age 10-14,723,314000,0,,,Not applicable
Gini coefficient - Market income,No sharing,Gini points,Age 15-19,561,305000,0,72.24,2.78,
Gini coefficient - Market income,No sharing,Gini points,Age 20-24,519,332000,0,48.16,3.77,
Gini coefficient - Market income,No sharing,Gini points,Age 25-29,642,367000,0,43.31,7.35,
Gini coefficient - Market income,No sharing,Gini points,Age 30-34,708,338000,0,45.54,2.67,
Gini coefficient - Market income,No sharing,Gini points,Age 35-39,681,310000,0,48.85,3.07,
Gini coefficient - Market income,No sharing,Gini points,Age 40-44,630,299000,0,47.89,4.42,
Gini coefficient - Market income,No sharing,Gini points,Age 45-49,693,330000,0,48.2,4.91,
Gini coefficient - Market income,No sharing,Gini points,Age 50-54,627,317000,0,51.46,6.16,
Gini coefficient - Market income,No sharing,Gini points,Age 55-59,633,314000,0,47.58,2.85,
Gini coefficient - Market income,No sharing,Gini points,Age 60-64,558,270000,0,61.7,4.03,
Gini coefficient - Market income,No sharing,Gini points,Age 65-69,513,233000,0,68.1,3.76,
Gini coefficient - Market income,No sharing,Gini points,Age 70-74,426,190000,0,73.65,4.6,
Gini coefficient - Market income,No sharing,Gini points,Age 75-79,339,125000,0,73.74,4.11,
Gini coefficient - Market income,No sharing,Gini points,Age 80+,312,157000,0,77.94,4.58,
Household family counts,Not applicable,Percent,Households with one family,3075,1224000,19000,70,1.1,
Household family counts,Not applicable,Percent,Households with two families,609,332000,24000,19,1.4,
Household family counts,Not applicable,Percent,Households with three families,180,135000,14000,7.7,0.8,
Household family counts,Not applicable,Percent,Households with four or more families,66,58000,11000,3.3,0.6,
Jobseeker Support recipients,Not applicable,Percent,Age 15-19,561,305000,0,,,Suppressed
Jobseeker Support recipients,Not applicable,Percent,Age 20-24,519,332000,0,11.4,3.1,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 25-29,642,367000,0,8.7,2.9,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 30-34,708,338000,0,5,1.9,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 35-39,681,310000,0,3.2,1.4,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 40-44,630,299000,0,4,1.9,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 45-49,693,330000,0,4.5,1.8,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 50-54,627,317000,0,6,1.9,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 55-59,633,314000,0,7.3,2.5,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 60-64,558,270000,0,10.4,2.4,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 65-69,513,233000,0,5.2,2.5,NB - Sampling error is 21-50% of point estimate
Jobseeker Support recipients,Not applicable,Percent,Age 70-74,426,190000,0,,,Suppressed
Jobseeker Support recipients,Not applicable,Percent,Age 75-79,339,125000,0,,,Suppressed
Jobseeker Support recipients,Not applicable,Percent,Age 80+,312,157000,0,,,Suppressed
Labour force participation rate - Dependent,Not applicable,Percent,Age 15-19,309,169000,14000,21.3,4.9,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 15-19,,,,,,Suppressed
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 20-24,54,28000,7000,92.9,8.5,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 25-29,162,86000,10000,96.5,3,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 30-34,261,120000,9000,95.8,2.7,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 35-39,249,109000,9000,96.3,2.5,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 40-44,243,117000,10000,96.6,2.2,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 45-49,240,120000,9000,99.2,1.8,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 50-54,231,121000,10000,92.6,3.8,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 55-59,231,116000,9000,91.4,3.2,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 60-64,195,98000,9000,89.8,4.4,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 65-69,168,81000,8000,51.9,7.6,
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 70-74,135,64000,7000,39.1,9.1,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 75-79,111,41000,6000,22,8,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Principal earner in couple,Not applicable,Percent,Age 80+,72,38000,5000,,,Suppressed
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 15-19,,,,,,Suppressed
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 20-24,78,42000,8000,76.2,9.6,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 25-29,201,100000,10000,83,5.2,
